,add date,Total Reach - Followers,# Playlists
0,2020-09-05,23,1
1,2020-09-07,123,1
2,2020-09-09,353,1
3,2020-09-10,51,1
4,2020-09-15,4,1
5,2020-09-16,183,4
6,2020-09-17,300,4
7,2020-09-18,852,2
8,2020-09-19,510,4
9,2020-09-20,129,5
10,2020-09-22,6,2
11,2020-09-23,102,3
12,2020-09-24,1450,3
13,2020-09-25,1971,4
14,2020-09-26,2755,13
15,2020-09-27,15052,6
16,2020-09-28,27825,2
17,2020-09-29,25391,7
18,2020-09-30,3808,9
19,2020-10-01,30,2
20,2020-10-02,1523,6
21,2020-10-03,57169,6
22,2020-10-04,14758,7
23,2020-10-06,107,2
24,2020-10-07,1524,4
